Designator,Mid X,Mid Y,Rotation,Layer
R_GATE6,158.0,-97.9,90.0,top
R_MID1,156.6,-114.6,270.0,bottom
R_PACK_FLT1,159.8,-114.6,270.0,bottom
R_REG1,150.2,-94.65,0.0,bottom
R_SENSE1,141.5,-89.0,180.0,top
R_SRN_FLT1,157.2,-99.8,90.0,bottom
R_SRP_FLT1,148.7,-99.825,270.0,bottom
R_TOP_FLT1,150.2,-114.6,90.0,bottom
TP1,161.375,-111.9,90.0,top
TP10,162.0,-94.8,270.0,top
TP11,110.7,-62.5,0.0,top
TP12,144.6,-111.6,0.0,top
TP13,155.9,-114.4,0.0,top
TP14,161.1,-114.4,0.0,top
TP2,159.875,-111.9,90.0,top
TP3,160.375,-111.9,270.0,top
TP4,116.052886,-94.8,270.0,top
TP5,123.225,-94.8,270.0,top
TP6,131.0,-94.8,270.0,top
TP7,138.6,-94.8,270.0,top
TP8,146.4,-94.8,270.0,top
TP9,154.2,-94.8,270.0,top
U1,118.3375,-96.0,0.0,bottom
U10,155.750014,-97.91125,90.0,top
U11,154.7,-107.7,90.0,bottom
U2,120.8,-104.1,180.0,bottom
U3,128.0,-110.471,0.0,bottom
U4,139.074979,-99.1,270.0,bottom
U5,116.8,-97.9,90.0,top
U6,124.6,-97.9,90.0,top
U7,132.5,-97.9,90.0,top
U8,140.0,-97.9,90.0,top
U9,147.8,-97.9,90.0,top
X1,139.200001,-110.4,0.0,bottom
